Comentario,Relacion_Video,Emocion,Emocion_Dominante
 @Marsal7887  asi se tiene que llamar,No,Neutro,Neutro
esa es ansiedad oh inmadurez?,Sí,Ira,Neutro
Alegría trae rifle 😅,Sí,Sorpresa,Neutro
Drogadamente 2,No,Asco,Neutro
Si😂😂😂😂😂😂😹😹😹😹😹🤪🤪🤪,Sí,Alegría,Neutro
" @davidnicolaszepedasolis2025  Alrevez de España, con poco presupuesto",No,Asco,Neutro
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
XDDDDD😂,Sí,Alegría,Neutro
"La plena tienen q poner el nombre a la película ""Mentedrogada 2"" 🥵👌",Sí,Ira,Neutro
Autistamente 2,No,Neutro,Neutro
"XDDDDDDDDDDDDXDDDDDDDDDXDDDDDDDDDDXDDDDDDDDDDDDDXDDDDDDDDDDDDDDDDDD
XDD",Sí,Alegría,Neutro
JAJAJA,Sí,Alegría,Neutro
"Jajaja, mano, casi me ahogo",Sí,Alegría,Neutro
Así es jajaja,Sí,Alegría,Neutro
Próximamente megamente vs el sindicato de la perdición 😎,No,Sorpresa,Neutro
Drogadamente 2,No,Neutro,Neutro
Intensadroga 2,No,Sorpresa,Neutro
Crikos0s intensos 2,Sí,Neutro,Neutro
Literal,Sí,Sorpresa,Neutro
😂,Sí,Alegría,Neutro
Drogadamente,No,Asco,Neutro
Jajajaja jajaja jajajaja,Sí,Alegría,Neutro
Xd,Sí,Sorpresa,Neutro
Literal,Sí,Sorpresa,Neutro
Literalmente si es,Sí,Asco,Neutro
MenteDrogada 2 xD,No,Sorpresa,Neutro
Te guro jaja,Sí,Alegría,Neutro
Lisiados 2,No,Neutro,Neutro
Es visio intenso 2 😂,Sí,Sorpresa,Neutro
JAJJAJAJJAJ,Sí,Alegría,Neutro
Xd,Sí,Alegría,Neutro
JAJAJAJAJAJAJJJAAA,Sí,Alegría,Neutro
😂😂😂😂🤣🤣🤣🤣,Sí,Alegría,Neutro
Literaaal 😂,Sí,Alegría,Neutro
Intensadroga 2,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Asco,Neutro
😂😂😂😂,Sí,Alegría,Neutro
Mentedroga tu cara,No,Sorpresa,Neutro
Literal,Sí,Sorpresa,Neutro
Jajajaja,Sí,Alegría,Neutro
Intensadroga y intensadroga 2,No,Sorpresa,Neutro
Jajajajaj si,Sí,Alegría,Neutro
Jajaja 😃😂😂😂,Sí,Alegría,Neutro
Xd😂,Sí,Alegría,Neutro
Vicios intensos 2,Sí,Sorpresa,Neutro
DrogadaMente 2,No,Neutro,Neutro
😂😂😂😂😂😂😂. Masterpiece ever. Vengo por memes random 😂😂😂😂😂😂,Sí,Alegría,Neutro
Memo nos lleva a vivir un día en Intensamente 2. ¡Qué increíble experiencia!,Sí,Alegría,Neutro
Jajaja,Sí,Alegría,Neutro
JAJAJAJAJAJAJA,Sí,Alegría,Neutro
Mariguana 2,No,Neutro,Neutro
Culeadaintensa 2,Sí,Sorpresa,Neutro
7/10,No,Neutro,Neutro
XDDDDDDDDDD,Sí,Alegría,Neutro
Tú ni hables ☺️💢,No,Ira,Neutro
XDDDDD,Sí,Alegría,Neutro
literal,No,Neutro,Neutro
Juega con herramientas peligrosas,No,Miedo,Neutro
Cuándo se va de otra forma de intensamente dos a dónde estaban sus amigos,Sí,Curiosidad,Neutro
👁️‍🗨️😃😃😃😃😃🎉🎉🎉🎉🎉💌,Sí,Alegría,Neutro
"Hola
Un
L
Io",No,Neutro,Neutro
😅😅😅😅😅😅😅😅😅😅😅😅😅😂😂😂😂,Sí,Alegría,Neutro
El,No,Neutro,Neutro
Intensamente 2,Sí,Sorpresa,Neutro
Eseriomente,No,Neutro,Neutro
Placenteramente 2,Sí,Sorpresa,Neutro
Te mamaste.,No,Ira,Neutro
Intensamente de bajo presupuesto 🤙🤑,Sí,Sorpresa,Neutro
Jaja,Sí,Alegría,Neutro
Jajajajajjajajajjajsjajajsj felizidad drogada los enanitos de blancanieves,Sí,Alegría,Neutro
Callate w,No,Ira,Neutro
 @LukazMatias  Quien te pregunto,No,Neutro,Neutro
Intensamentefumada 2,No,Neutro,Neutro
Hoo este comentario es muy muy MUY correcto denle like para que mentedregada 2 deje las dregas,No,Sorpresa,Neutro
Listo,No,Neutro,Neutro
WTF por qué tu foto de perfil es igual XD,No,Sorpresa,Neutro
 @1_blox_666_uwu  TOY TRITE 🗣️🗣️🗣️🗣️🔥🔥🔥🔥,Sí,Sorpresa,Neutro
TV un,No,Neutro,Neutro
XDDD,Sí,Alegría,Neutro
Jajajajajajaja,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
X2,Sí,Asco,Neutro
"Va a pasar otra vez, va a pasar otra vez, va, a... Pasar... Otra... Ves 😭💔",Sí,Tristeza,Neutro
el fin se acerca.,No,Sorpresa,Neutro
Contexto:,No,Neutro,Neutro
"la banda de enanos cuando se llevaron a tristeza:
tristeza:ToY mUy TrIsTe😭😭",Sí,Tristeza,Neutro
Los vecinos literal viven en el lugar más macabro del mundo jajajajaajaja,No,Alegría,Neutro
Pobrecitos los vecinos 😭,Sí,Tristeza,Neutro
 @wip3rmaniaxd  lo sé😞💔,Sí,Tristeza,Neutro
{/ “,No,Neutro,Neutro
"Una nueva emoción wow


Hola soy traumatismo",Sí,Sorpresa,Neutro
😹👌,Sí,Alegría,Neutro
Esta.   Mui.   Histoso😂,Sí,Alegría,Neutro
ya le diste ideas en el próximo video saldrá disfrazado de willie wonka con los enanos disfrazados de umpalumpas,Sí,Sorpresa,Neutro
Aña,No,Neutro,Neutro
Casi el mismo nombre,No,Neutro,Neutro
XDD,Sí,Alegría,Neutro
JAJAJAJ,Sí,Alegría,Neutro
Om❤❤😂😂😂🎉🎉,Sí,Alegría,Neutro
6:29,Sí,Neutro,Neutro
6:39 6:39 6:39,Sí,Neutro,Neutro
Lit🗿👌,Sí,Alegría,Neutro
Hola entiros,No,Neutro,Neutro
La cgd,No,Neutro,Neutro
!,Sí,Alegría,Neutro
En efecto,Sí,Sorpresa,Neutro
jajajaja medios metros,Sí,Alegría,Neutro
😡😢,Sí,Ira,Neutro
😂,Sí,Alegría,Neutro
Comoestas🎉,Sí,Alegría,Neutro
Llama a Willy para que rescate a sus enanos,No,Sorpresa,Neutro
revivió el cine 🗿,Sí,Alegría,Neutro
😊😊😊😊😊,Sí,Alegría,Neutro
😅,Sí,Alegría,Neutro
6:39 6:39 6:39,No,Neutro,Neutro
En el lado misterioso de la isla  wo do wo do 🗿,No,Asco,Neutro
A cantar la canción de Violeta mora azul,No,Neutro,Neutro
Se alucino willy wonka xddd,Sí,Alegría,Neutro
Tráigame al Willy para decirle que se le escaparon los oompa loompas 🗿😂,Sí,Alegría,Neutro
😢,Sí,Tristeza,Neutro
😊​ @vicxd_jejejeje ,No,Neutro,Neutro
:c,Sí,Asco,Neutro
😂😂😂😂,Sí,Alegría,Neutro
Y tu nariz tambien,No,Neutro,Neutro
Is that sukarisa😢,Sí,Asco,Neutro
"2:17 bueno, almenos uno de ellos lo admito",Sí,Ira,Neutro
"Intensamente 2 ❌
Drogamente 2 ✔️",Sí,Ira,Neutro
Intesamente 2:❌                                                                                                                                                                                                      Intesamuerte 2✅,No,Ira,Neutro
2:17 asta desagrado lo admite,Sí,Asco,Neutro
3:49 el grinch azul xd,Sí,Sorpresa,Neutro
"Intensamente 2:❌❌
Drogadamente 2:✅✅🤑👌",Sí,Sorpresa,Neutro
6:51  amo ser annesidad,No,Neutro,Neutro
"Intensamente 2:❌
Sal de mi mente 2:☑️",Sí,Sorpresa,Neutro
2:10 Desagrado tiene opiniones muy sabias,No,Asco,Neutro
4:28 la mejor pate del video,Sí,Alegría,Neutro
5:35 la cara de desagrado en pausa,Sí,Asco,Neutro
"""Desgraciadamente"" tenia que pasar",Sí,Tristeza,Neutro
"9:15 Martu, Caine, Jax, Bloo, Wildo y Om Nom en el auto",No,Neutro,Neutro
El único buen cosplay es el de desagrado XD,Sí,Alegría,Neutro
0:09 resumen del video:,Sí,Neutro,Neutro
Yo y mis primos cuando nos agarra la esquizofrenia alas 3 de la mañana 😂😂,No,Sorpresa,Neutro
IntensaMuerte 2 💀,Sí,Sorpresa,Neutro
1:56 estoy viendo a furia? Al Dr. Zoidberg? O a don cangrejo?,Sí,Sorpresa,Neutro
Me encantan sus videos y me gustaría ser alegre ❤,Sí,Alegría,Neutro
2:13 Este es el único punto bueno,Sí,Asco,Neutro
La risa del enano rojo 😂,Sí,Alegría,Neutro
Pero yo dije eso,No,Neutro,Neutro
Insanamente 2,Sí,Sorpresa,Neutro
"Intensamente ❌

Saldemimente ✔️",Sí,Asco,Neutro
Vicio intenso 2,Sí,Alegría,Neutro
Yo dije eso,No,Neutro,Neutro
Si XD,Sí,Alegría,Neutro
🎉😢,Sí,Alegría,Neutro
​ @jeseniaguido3514 😭😥😐🙂🥲🙂 😊😂🤣🤣🤣🤣🤣🤣🤣,Sí,Alegría,Neutro
😂😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉,Sí,Alegría,Neutro
"intensamente 2 ❌
Vicio intenso 2✅",Sí,Sorpresa,Neutro
Criko intenso 2 😼,Sí,Sorpresa,Neutro
Jajaja,Sí,Alegría,Neutro
Locamente 2 😂😂,Sí,Alegría,Neutro
Esquizofrenicamente 😬,Sí,Asco,Neutro
 @LorenzaLorenza-cw9dw   jajaja,Sí,Alegría,Neutro
😅🎉,Sí,Alegría,Neutro
sal de mi mente 2🤑😎✅✅,Sí,Alegría,Neutro
Literal,Sí,Neutro,Neutro
La furia 😂😂,Sí,Ira,Neutro
Comentario robado🗿 e infravalorado,Sí,Ira,Neutro
 @GAMEOVER-si1yp Huh?,No,Neutro,Neutro
Ture,No,Neutro,Neutro
Si jaja,Sí,Alegría,Neutro
Real,No,Neutro,Neutro
Si si,No,Neutro,Neutro
"Tu,M ser😊",Sí,Alegría,Neutro
Destruye mi mente....,Sí,Asco,Neutro
Ver,No,Neutro,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Me identifico con desagrado xd,Sí,Asco,Neutro
Yoo,No,Neutro,Neutro
Nos salió basada la que hizo de desagrado XD,Sí,Alegría,Neutro
5:36 está más xd,Sí,Alegría,Neutro
Ya la vi😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
L9s ojos están bloancos,No,Asco,Neutro
el buen cosplay es el de furia 🤑,Sí,Sorpresa,Neutro
Jajaja,Sí,Alegría,Neutro
Lit,Sí,Sorpresa,Neutro
Si tienes razón hombre!,Sí,Alegría,Neutro
De hecho y el de vergüenza se podría decir que también,Sí,Sorpresa,Neutro
Covers IA...,No,Neutro,Neutro
Solo ese xd,Sí,Alegría,Neutro
Lite,No,Asco,Neutro
Y nostalgia,Sí,Nostalgia,Neutro
Supongo,No,Neutro,Neutro
Y alegría  xd,Sí,Alegría,Neutro
Pajin,No,Neutro,Neutro
concuerdo,No,Neutro,Neutro
Y ansiedad con esquizofrenia,Sí,Miedo,Neutro
Sii,No,Neutro,Neutro
Y tambien el de envidia,No,Neutro,Neutro
Y tambien el de envidia,No,Ira,Neutro
Ja 😂ja,Sí,Alegría,Neutro
Lo dices porque hoy en día todos se quieren Follar a Desagrado XD,No,Ira,Neutro
Tgd,No,Neutro,Neutro
Literal,Sí,Asco,Neutro
😊,Sí,Alegría,Neutro
ansiedad es que te quiero mandar un mensaje y me llamo renata saludos quisiera estoy mi cerebro,No,Neutro,Neutro
"2:33 tristeza ✖️
Ñitesa ✔️",Sí,Tristeza,Neutro
6/10,No,Neutro,Neutro
3/10,No,Neutro,Neutro
A dónde tan basado?,No,Asco,Neutro
Cada día más basado,Sí,Ira,Neutro
XD,Sí,Alegría,Neutro
Literal,Sí,Sorpresa,Neutro
Hoy amaneció basado 🚬🗿,No,Sorpresa,Neutro
La drogaintensa2,Sí,Neutro,Neutro
Lit,Sí,Asco,Neutro
Literal,Sí,Sorpresa,Neutro
Super si 😂😂😂,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
Ko  siiiiiiiiiiiiiiiii,Sí,Sorpresa,Neutro
XD,Sí,Alegría,Neutro
Facts,No,Neutro,Neutro
2:38 😂😂😂 Se golpea,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
😂😂😂😂,Sí,Alegría,Neutro
Explicado en una palabra XD,Sí,Sorpresa,Neutro
JAJAJAJAJA,Sí,Alegría,Neutro
Soy el like 1k :o,Sí,Alegría,Neutro
*c cae*,No,Neutro,Neutro
A los tres e,No,Neutro,Neutro
Es una fusión que salió mal,Sí,Ira,Neutro
En efecto,Sí,Neutro,Neutro
2:34 trauma desbloqueado,Sí,Sorpresa,Neutro
Si,Sí,Neutro,Neutro
(editado) Si xd 😼,Sí,Alegría,Neutro
Estoy totalmente de acuerdo ​ @NatTheSealOwO ,Sí,Neutro,Neutro
De,No,Neutro,Neutro
 @zaletvalle7793  Do xd,No,Neutro,Neutro
A mí también me gustó mucho el enano rojo 😼,Sí,Alegría,Neutro
Concuerdo con desagrado🗿🍷,Sí,Asco,Neutro
Esta version de intensamente que parece live actions es  Cine es lo mejor por que es demasiado XDdxddx jajjajaja,Sí,Alegría,Neutro
"Fua, pues si que está intensa la mente 🫡",Sí,Sorpresa,Neutro
"""Columpiando el tamarindo"" 😂😂😂",Sí,Alegría,Neutro
Jajaja este furia bailando,Sí,Alegría,Neutro
Así son nuestras emociones en la vida real,Sí,Sorpresa,Neutro
La mente de Riley cuando conoció la María Juana:,No,Sorpresa,Neutro
0:09 el total resumen del video,Sí,Neutro,Neutro
ME ENCANTA CUANDO SE CAE TRISTEZA,Sí,Tristeza,Neutro
4:55 porque tanta violencia,Sí,Asco,Neutro
2:16  Desagrado diciendo verdades 🗣🔥🔥🔥,Sí,Ira,Neutro
Furia y desagrado: donde esta mi diploma de actuacion?,Sí,Ira,Neutro
4:07 porque parece Merlina Adams combinado con AimeP3 ☠️,Sí,Sorpresa,Neutro
Intensamente 2 ❌ Sal de mi mente 2✅,Sí,Neutro,Neutro
"Intensamemte 2 ✖️ 
Drogadamente 2 ✔️",Sí,Sorpresa,Neutro
Yo Si Quisiera Ir A Ver La Película👍👏🙌🎥🍿!,Sí,Alegría,Neutro
Tensamente 2: ahora es personal,Sí,Sorpresa,Neutro
2:16 hasta q al fin la Desagrado lo admite,Sí,Desagrado,Neutro
6:12 vergüenza:perrea a lo loco*,Sí,Ira,Neutro
"Vi El Video Donde Un Wey Vio Esto En Persona: 

Debio Ser Una Pesadilla Para El.",Sí,Miedo,Neutro
4 :32  😂😂😂 se le ve asta el alma,Sí,Alegría,Neutro
Literal 🔥🔥🔥,Sí,Alegría,Neutro
Literal,Sí,Asombro,Neutro
Lo confirmo 💀,Sí,Miedo,Neutro
XDDDD,Sí,Alegría,Neutro
😂😂😂😂,Sí,Alegría,Neutro
0️⃣/💯,No,Neutro,Neutro
XD,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
Xd,No,Neutro,Neutro
Lo puedes pasar?,Sí,Sorpresa,Neutro
Pasalo,Sí,Sorpresa,Neutro
Pasalo,Sí,Alegría,Neutro
Lo único rescatable es desagrado xd,Sí,Asco,Neutro
2:18 WTF?!!,Sí,Ira,Neutro
El recuerdo de riley de cuando probo el fentanilo,No,Tristeza,Neutro
El disfraz de desagrado es el q irónicamente menos me desagrada de todos 😅.,Sí,Alegría,Neutro
2:40 Oompa Lumpa Depresivo,Sí,Asco,Neutro
Voy a tener pesadillas con estas emociones 💀💀🔪🩸☠️,Sí,Miedo,Neutro
F por la chica que se vistió de Desagrado,Sí,Asco,Neutro
Desagrado es la mejor de todo ahi,No,Asco,Neutro
"Me encanta, la peli se llama vicio intenso😊😊😊",Sí,Alegría,Neutro
4:55 jaja el furia el tumba abuelitas🤑,Sí,Alegría,Neutro
6:00 viendo memes 😀👍,No,Alegría,Neutro
"raili y sus emociones ❌
raili y sus adicciones ✅",No,Sorpresa,Neutro
4:26 Este va a ser la parte mas reproducida del video XD,Sí,Alegría,Neutro
Ya pero lo bonito que esta el cosplay de desagrado,Sí,Asco,Neutro
4:54 CAIA RE DURO JKAJAKAKJAKA,No,Asco,Neutro
5:04 en tij tok en la academi,No,Neutro,Neutro
"Intensamente 2:❌
Drogadamente 2:✅🤑🤙",Sí,Miedo,Neutro
0:01 donde empieza los traumas💀👊,Sí,Ira,Neutro
Parecen los típicos personajes de una película snuff,Sí,Asco,Neutro
9:52 un jugito🥺,Sí,Sorpresa,Neutro
XD,Sí,Alegría,Neutro
Si,Sí,Sorpresa,Neutro
X2,No,Neutro,Neutro
"Siii a mi también! Es el único digno, aceptable, y EL QUE SE SALVA… X3",Sí,Alegría,Neutro
xD,Sí,Alegría,Neutro
🤷,No,Neutro,Neutro
Siempre ella tiene los mejores disfraces,Sí,Alegría,Neutro
Ufff desagrado digo si lo unico bueno,Sí,Asco,Neutro
Ya te vi Covers IA,No,Neutro,Neutro
¡¡¿¿Que le hace a mi waifu??!! 😡😡,Sí,Ira,Neutro
🤨,No,Neutro,Neutro
Resulto q si XD,Sí,Alegría,Neutro
Digo Coñ*?,No,Ira,Neutro
Y como sabes xd,Sí,Alegría,Neutro
El sin esquinas🥵🤑,No,Ira,Neutro
😂🤣👍🤮 4:36 4:36,Sí,Alegría,Neutro
Qué chlng@d0$????,No,Neutro,Neutro
Chi 💕,No,Neutro,Neutro
Que genial se ve todo!!,Sí,Alegría,Neutro
Quiero que pongan esto en mi funeral para que me envidian que estoy muerto,Sí,Sorpresa,Neutro
Pov: cuando te pones un traje alegría automática mente todos ¡Los drogados intensos!,Sí,Alegría,Neutro
"Intensamente 2:❌
Jodidamente 2 :✅",Sí,Ira,Neutro
Top Creepypastas,No,Neutro,Neutro
1:56 Oopa Lompa Cricoso,No,Asco,Neutro
9:43 Me Dio Risa Esta Parte Cuando Tristeza Agarra los Pañales😂😂😂😂🤣🤣🤣🤣,Sí,Alegría,Neutro
también me gusta la  parte donde rylie conoce a walter white 😊😊,Sí,Alegría,Neutro
2:07 tengo hemordies 🤑🤙,Sí,Sorpresa,Neutro
ni alegria  ni todas. las emosiones,No,Neutro,Neutro
9:12 ansiedad asomándose por el carro y desagrado con la mirada de las mil obligaciones 😂😂,Sí,Ira,Neutro
Desagrado esta ufff,Sí,Asco,Neutro
Furia❤😊              te.                 Quiero❤,Sí,Alegría,Neutro
Pov: cuando compras intensamente 2 en el mercado de la esquina XD,No,Sorpresa,Neutro
2:16 Opina lo mismo que nosotros 🗿,Sí,Neutro,Neutro
"3:53 me encanta tu pelona akjdkskdjd
(Aun asinme sigue traumando😢)",Sí,Tristeza,Neutro
1:36 inicio de el trauma💀💀👹👹👹,Sí,Asco,Neutro
Internados 2,No,Neutro,Neutro
Memo nos lleva a vivir un día en Intensamente 2. ¡Qué increíble experiencia!,Sí,Alegría,Neutro
Estos videos son una joya de el arte contemporáneo moderno actual,Sí,Sorpresa,Neutro
Ya tu sabes… Desagrado lanzando factos 🗿🗿🗿xD🗿🗿,Sí,Ira,Neutro
Ya duerman al uriel como los perritos,No,Sorpresa,Neutro
 @icesombi  :truestory:,Sí,Sorpresa,Neutro
Hola mau mau mau,No,Neutro,Neutro
Quien me acompaña a llevarlo a terapia 🗿,Sí,Sorpresa,Neutro
5:35 la cara de desagrado está en pausa,Sí,Asco,Neutro
9:20 te amare por siempreeeee,Sí,Alegría,Neutro
Ya listo ahora me voy a llenar los ojos con asido,No,Asco,Neutro
El cliente : pero si es la original?,Sí,Sorpresa,Neutro
Me.               Gusta.              Tus.               Videos.      😊,Sí,Alegría,Neutro
"las emociones de Riley:❌
las emociones de un cricoso: ✔️",Sí,Sorpresa,Neutro
Imaginense que aparesca deprecion y locura😂😂😂❤❤,Sí,Alegría,Neutro
Holle memoaponte has video de Temor y Desagrado Besándose  por favor 🙏,No,Sorpresa,Neutro
4:49 Se parece ami Abuela xD,Sí,Alegría,Neutro
buena para las afueras del mall presentando la pelicula😅😅😅,Sí,Alegría,Neutro
4:32 hablan en lengua de seña,Sí,Sorpresa,Neutro
La versión que todos queriamos😢,Sí,Tristeza,Neutro
"Intensamente 2:🚫🚫🚫🚫🚫🚫


Memo drogado 20000:🥵👌🤑🤟🧐🍷🚬





4:37 un borracho cuando hace del baño",Sí,Ira,Neutro
soy tu fan memo esce estoy en mí país es perú😊,No,Alegría,Neutro
"Intensamente2 y al revés2: 🤮🙄🤬👊
Mentesquizofrénica 2 y drogadamente2: 😻😍😎💅",Sí,Asco,Neutro
Y aquí vamos de nuevo,Sí,Neutro,Neutro
"Inmensamente 2: ❌️
Destruye mi mente: ✅️",Sí,Sorpresa,Neutro
"Por favor libera a los chaparritos 

Deben tener familia que los extrañe 😢",No,Tristeza,Neutro
3:51 me encanta tu pelona 😂😂😂😂𝑎𝑗𝑎𝑗𝑎𝑗,Sí,Alegría,Neutro
Yo vi esa película de intensamente 2,Sí,Neutro,Neutro
6:28,Sí,Sorpresa,Neutro
4:54 mi parte favorita xd,Sí,Alegría,Neutro
😅,Sí,Alegría,Neutro
El es su familia 😂😂,Sí,Alegría,Neutro
Humor?,Sí,Curiosidad,Neutro
Esa es intensamente 3 vdd? Donde Riley se mete en vicios vdd,Sí,Ira,Neutro
Las puras emociones de medio metro,Sí,Sorpresa,Neutro
Ni nostalgia se salvo 😔,Sí,Tristeza,Neutro
4:27 😂😂😂😂,Sí,Alegría,Neutro
2:26 😂😂😂😂,Sí,Alegría,Neutro
y nostalgia tambien,Sí,Nostalgia,Neutro
Por qué memo está vestido de march Simpson?,No,Confusión,Neutro
3:53 me encanta tu pelona 😂,Sí,Alegría,Neutro
Nostalgia a puras penas camina🗿🍷🤑,Sí,Tristeza,Neutro
Vicio intenso 2,Sí,Asco,Neutro
ELVICIO INTENSO 2,Sí,Asco,Neutro
Gracias por alegrarme el día memo,Sí,Alegría,Neutro
8:36  xd😂😂😂😂,Sí,Alegría,Neutro
Que nadie se entere que estoy viendo esto 😔,Sí,Sorpresa,Neutro
Intensamente 2✋😍🥰.,Sí,Alegría,Neutro
POR QUE MEMO PORQUEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,No,Asco,Neutro
Tengo pesadillas de esto 😭,Sí,Tristeza,Neutro
"4:07 todo el día viendo memes
Jajaja literal yo",Sí,Alegría,Neutro
La siento intensa 2,Sí,Sorpresa,Neutro
2:31 que marica me mato de la risa,Sí,Alegría,Neutro
"Es tan absurdo que da risa xd,y más furia",Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
Ya me entere,No,Neutro,Neutro
Yo también me enteré.,No,Neutro,Neutro
Bueno si dejas un comentario que dice que nadie se entere que estoy viendo esto es que ya se van a enterar que ya estás viendo esto tarde o temprano,Sí,Ira,Neutro
Xd,Sí,Alegría,Neutro
X2,No,Neutro,Neutro
Lo q,No,Neutro,Neutro
Le voy a decir a tus papis 🫵😹,Sí,Alegría,Neutro
Litt jajajaj,Sí,Alegría,Neutro
Ya le dije s mi tía osea soy tu prima,No,Neutro,Neutro
Oe polo menos respetando un poco! PORFA 😢,Sí,Tristeza,Neutro
Ya me entere,No,Neutro,Neutro
Es en omenaje,Sí,Neutro,Neutro
yo,No,Neutro,Neutro
X2,No,Neutro,Neutro
Mis favoritos,Sí,Sorpresa,Neutro
"AL FIN UN VIDEO SIN CHISTES DE DOBLE SENTIDO🎉❤




















lástima el final...",Sí,Tristeza,Neutro
"3:18 Yo: Mamá estoy aburrido

Yo que entiende mi Mamá:",Sí,Alegría,Neutro
Tu eres. Alegria❤❤,Sí,Alegría,Neutro
2:16 Generacion Z resumen:,No,Neutro,Neutro
"Aqui para activar el escudo anti crange  
👇",No,Neutro,Neutro
4:35 esta parte me a hecho reir mucho jajajajaja😂😂,Sí,Alegría,Neutro
Creo que Riley tomo sustancias ilicitas y por eso las emociones son así 😨,Sí,Asco,Neutro
Esquizofrénia 2😻😻😻,No,Sorpresa,Neutro
4:07 xD todo el dia viendo memes  xd,No,Alegría,Neutro
When se hizo canon la película de vicio intenso 2 🤑,Sí,Neutro,Neutro
Prestame a desagrado😍,No,Sorpresa,Neutro
Jajaja 😂    los   disfraces,Sí,Alegría,Neutro
La cara de furia me recuerda al cangrejo de la sirenita xdd😂 4:56,Sí,Alegría,Neutro
8:10 referencia al resplandor xd,Sí,Sorpresa,Neutro
Tremendo golpe que se dio la abuela,No,Asco,Neutro
"Aqui los que vienen del video
APARECE MAMA ADVIRTIENDO SOBRE LLEVAR A SUS HIJOS A VER INTENSAMENTE 2
De Undea2",Sí,Alegría,Neutro
es alegria o Marge?,Sí,Sorpresa,Neutro
Me gusto mucjo tu bideo soi fan ❤❤😅😂😂,Sí,Alegría,Neutro
Que nadie se entere que veo esto...,Sí,Miedo,Neutro
Hola,No,Neutro,Neutro
😊,Sí,Alegría,Neutro
",💀💀",No,Neutro,Neutro
"Es Maregría, la emoción que marea",Sí,Sorpresa,Neutro
Ninguna de las 2 es drogadina,No,Neutro,Neutro
Jajajaja justo!,Sí,Alegría,Neutro
Una funcion que causo una radiación en Springfield,No,Neutro,Neutro
X2,No,Neutro,Neutro
X3,No,Neutro,Neutro
4X,No,Neutro,Neutro
"Disfras de las demas emociones:🤢🤮🤮🤮🤮

El de desagrado:❤🤑🤩🤩🤩🤩😍😍",Sí,Asco,Neutro
Sustancias en mi mente,No,Asco,Neutro
0:10 se cae 👍,Sí,Alegría,Neutro
